no,type,status,summary,description
ISIS-907,Improvement,Closed,Enums drop-downs are truncated... the (derived) typical length for enums uses the name() rather than the toString(),Should be the longer of the name and the toString.
ISIS-906,Bug,Closed,incorrectly attempts to render a veto exception (from a subscriber) to a non-existent action dialog panel when invoked for a no-arg action.,"eg, with this code, the ""remove"" fails though the ""removeAndReplace"" works fine:

{code}
    @ActionInteraction(Party.RemoveEvent.class)
    public void remove() {
        removeAndReplace(null);
    }

    @ActionInteraction(Party.RemoveEvent.class)
    public void removeAndReplace(@Named(""Replace with"") @Optional Party replacement) {
        getContainer().remove(this);
        getContainer().flush();
    }
{code}

and the following stacktrace:

{code}
13:24:48,119 [MarkupContainer               ] Unable to find component with id 'actionName' in [ActionPanel [Component id = content]]
	Expected: 'theme:actionPromptModalWindow:content:actionName'.
	Found with similar names: ''
13:24:48,119 [RequestCycleExtra             ] ********************************
13:24:48,120 [RequestCycleExtra             ] Handling the following exception
Unable to find component with id 'actionName' in [ActionPanel [Component id = content]]
	Expected: 'theme:actionPromptModalWindow:content:actionName'.
	Found with similar names: ''
 MarkupStream: [markup = file:/C:/Users/jvanderwal/src/isis/component/viewer/wicket/ui/target-ide/classes/org/apache/isis/viewer/wicket/ui/components/actions/ActionPanel.html
<wicket:panel>
			<div class=""actionPanel actionComponentType"">
                <div class=""myBlockContainer"">
    				<div class=""iconAndTitle panel actionPanelHeaderNew"">
    			         <span wicket:id=""entityIconAndTitle"">[icon and title]</span>
    			         <p wicket:id=""actionName"" class=""actionName"">[action name]</p>
                    </div>
    				<span wicket:id=""parameters"">
    				</span>
                </div>
			</div>
		</wicket:panel>, index = 6, current =  '<p wicket:id=""actionName"" class=""actionName"">' (line 0, column 0)]
	at org.apache.wicket.markup.MarkupStream.throwMarkupException(MarkupStream.java:526)
	at org.apache.wicket.MarkupContainer.renderNext(MarkupContainer.java:1438)
	at org.apache.wicket.MarkupContainer.renderAll(MarkupContainer.java:1557)
	at org.apache.wicket.MarkupContainer.renderComponentTagBody(MarkupContainer.java:1532)
	at org.apache.wicket.MarkupContainer.renderAssociatedMarkup(MarkupContainer.java:689)
	at org.apache.wicket.markup.html.panel.AssociatedMarkupSourcingStrategy.renderAssociatedMarkup(AssociatedMarkupSourcingStrategy.java:76)
	at org.apache.wicket.markup.html.panel.PanelMarkupSourcingStrategy.onComponentTagBody(PanelMarkupSourcingStrategy.java:112)
	at org.apache.wicket.Component.internalRenderComponent(Component.java:2514)
	at org.apache.wicket.MarkupContainer.onRender(MarkupContainer.java:1496)
	at org.apache.wicket.Component.internalRender(Component.java:2344)
	at org.apache.wicket.Component.render(Component.java:2272)
	at org.apache.wicket.MarkupContainer.renderNext(MarkupContainer.java:1392)
	at org.apache.wicket.MarkupContainer.renderAll(MarkupContainer.java:1557)
	at org.apache.wicket.MarkupContainer.renderComponentTagBody(MarkupContainer.java:1532)
	at org.apache.wicket.MarkupContainer.renderAssociatedMarkup(MarkupContainer.java:689)
	at org.apache.wicket.markup.html.panel.AssociatedMarkupSourcingStrategy.renderAssociatedMarkup(AssociatedMarkupSourcingStrategy.java:76)
	at org.apache.wicket.markup.html.panel.PanelMarkupSourcingStrategy.onComponentTagBody(PanelMarkupSourcingStrategy.java:112)
	at org.apache.wicket.Component.internalRenderComponent(Component.java:2514)
	at org.apache.wicket.MarkupContainer.onRender(MarkupContainer.java:1496)
	at org.apache.wicket.Component.internalRender(Component.java:2344)
	at org.apache.wicket.Component.render(Component.java:2272)
	at org.apache.wicket.ajax.XmlAjaxResponse.writeComponent(XmlAjaxResponse.java:128)
	at org.apache.wicket.ajax.AbstractAjaxResponse.writeComponents(AbstractAjaxResponse.java:218)
	at org.apache.wicket.ajax.AbstractAjaxResponse.writeTo(AbstractAjaxResponse.java:150)
	at org.apache.wicket.ajax.AjaxRequestHandler.respond(AjaxRequestHandler.java:359)
	at org.apache.wicket.request.cycle.RequestCycle$HandlerExecutor.respond(RequestCycle.java:862)
	at org.apache.wicket.request.RequestHandlerStack.execute(RequestHandlerStack.java:64)
	at org.apache.wicket.request.RequestHandlerStack.execute(RequestHandlerStack.java:97)
	at org.apache.wicket.request.cycle.RequestCycle.execute(RequestCycle.java:261)
	at org.apache.wicket.request.cycle.RequestCycle.processRequest(RequestCycle.java:218)
	at org.apache.wicket.request.cycle.RequestCycle.processRequestAndDetach(RequestCycle.java:289)
	at org.apache.wicket.protocol.http.WicketFilter.processRequestCycle(WicketFilter.java:259)
	at org.apache.wicket.protocol.http.WicketFilter.processRequest(WicketFilter.java:201)
	at org.apache.wicket.protocol.http.WicketFilter.doFilter(WicketFilter.java:282)
	at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1212)
	at org.apache.shiro.web.servlet.AbstractShiroFilter.executeChain(AbstractShiroFilter.java:449)
	at org.apache.shiro.web.servlet.AbstractShiroFilter$1.call(AbstractShiroFilter.java:365)
	at org.apache.shiro.subject.support.SubjectCallable.doCall(SubjectCallable.java:90)
	at org.apache.shiro.subject.support.SubjectCallable.call(SubjectCallable.java:83)
	at org.apache.shiro.subject.support.DelegatingSubject.execute(DelegatingSubject.java:383)
	at org.apache.shiro.web.servlet.AbstractShiroFilter.doFilterInternal(AbstractShiroFilter.java:362)
	at org.apache.shiro.web.servlet.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:125)
	at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1212)
	at org.mortbay.jetty.servlet.ServletHandler.handle(ServletHandler.java:399)
	at org.mortbay.jetty.security.SecurityHandler.handle(SecurityHandler.java:216)
	at org.mortbay.jetty.servlet.SessionHandler.handle(SessionHandler.java:182)
	at org.mortbay.jetty.handler.ContextHandler.handle(ContextHandler.java:766)
	at org.mortbay.jetty.webapp.WebAppContext.handle(WebAppContext.java:450)
	at org.mortbay.jetty.handler.HandlerWrapper.handle(HandlerWrapper.java:152)
	at org.mortbay.jetty.Server.handle(Server.java:326)
	at org.mortbay.jetty.HttpConnection.handleRequest(HttpConnection.java:542)
	at org.mortbay.jetty.HttpConnection$RequestHandler.headerComplete(HttpConnection.java:928)
	at org.mortbay.jetty.HttpParser.parseNext(HttpParser.java:549)
	at org.mortbay.jetty.HttpParser.parseAvailable(HttpParser.java:212)
	at org.mortbay.jetty.HttpConnection.handle(HttpConnection.java:404)
	at org.mortbay.jetty.bio.SocketConnector$Connection.run(SocketConnector.java:228)
	at org.mortbay.thread.QueuedThreadPool$PoolThread.run(QueuedThreadPool.java:582)
13:24:48,120 [RequestCycleExtra             ] ********************************

{code}

"
ISIS-905,Bug,Closed,"Transaction handling fix, if throw exception on flush for no-arg action.",
ISIS-904,Improvement,Resolved,Support autoComplete with dependent choices.,as per mailing list: http://markmail.org/message/k4cs6hfzb2jl7gsm
ISIS-903,Improvement,Closed,Improve i18n support (in NamedFacetDecorator etc) to honour client-side locale.,"from the mailing list: http://markmail.org/message/wifsrte2p2q6tces

ok, here's the scoop.

It *is* possible to add i18n for Isis apps, but the implementation we have reflects the locale of the server, rather than the client. 

If client-side i18n is what you require then it ought to be possible to implement a different implementation of I18nFacetDecoratorInstaller.  You can get hold of the user's locale using:

AuthenticatedWebSessionForIsis.get().getLocale()

"
ISIS-902,Improvement,Closed,Enhance ImageResourceCacheClassPath so that can have two entities with the same simple name but in different packages.,"suggest that it:
* search as a resource (src/main/resource) using the fully-qualified name
* if not found, search up the inheritance hierarchy of the class

failing that fall back to the current strategy:
* search in images/ for the simple name
* if not found, search up the inheritance hierarchy similarly.

~~~
Need to take into account the iconName() (IconFacet) ... perhaps interpret it relative to the same package.

"
ISIS-901,New Feature,Closed,Use @DomainService(repositoryFor=...) as the basis for an implementation of the IconFacet.,"... thus meaning no requirement to write an ""iconName"" method in the domain service."
ISIS-900,New Feature,Closed,Provide a mechanism (probably in the isis-module-devutils add-on) to find classes/services that have no icon.,
ISIS-899,Bug,Closed,Can't return a view model in Isis 1.6.0 over RO viewer.,
ISIS-898,New Feature,Closed,Add a table tree view to the Wicket viewer.,"see mailing list discussion [1]

[1] http://markmail.org/message/vu3jqmlawrskplic

~~~
some further thoughts:

For example, in Estatio there are several hierarchies

EstatioInstance (""global"") /
  EstatioInstance (""italy"") /
    EstatioInstance (""Roma shopping mall"")

or:

Property/
  Floor/
    Unit

We'd like to render these objects in a single tree/table collection.

~~~
We should distinguish two cases:
- where all the rows are of the same type (EstatioInstance, turtles all the way down).
- where all the rows are of different types (Property/Floor/Unit)

For the former, the columns to use are exactly those of the (single) class.

For the latter, things are more complicated, as all the objects are of different class.  It's not clear to me what (apart from an icon and a title) should be shown as columns.  Perhaps just the intersection of those properties that are common across all types (eg name?) .  Or perhaps there's metadata (in @PropertyLayout(...)) to specify that a particular property should always be shown in such tree/table collections, even if it is null for other rows for instances of some other class.


"
ISIS-897,Bug,Closed,Wrong format for org.joda.time.LocalDateTime,"Using https://github.com/danhaywood/isis-kitchensink I tried to edit org.joda.time.LocalDateTime (Date > First > Edit > select a date from the picker > Save).

It fails with:

Caused by: java.lang.IllegalArgumentException: Invalid format: ""20140925T000000.000"" is too short
	at org.joda.time.format.DateTimeFormatter.parseLocalDateTime(DateTimeFormatter.java:828)
	at org.apache.isis.core.metamodel.facets.value.datetimejodalocal.JodaLocalDateTimeValueSemanticsProvider.parse(JodaLocalDateTimeValueSemanticsProvider.java:251)
	at org.apache.isis.core.metamodel.facets.value.datetimejodalocal.JodaLocalDateTimeValueSemanticsProvider.doRestore(JodaLocalDateTimeValueSemanticsProvider.java:244)
	... 86 more
"
ISIS-896,Bug,Closed,Minor issues with scripts in ~/scripts,"Scripts in ~/scripts do not have executable status.
Missing script for verifying release."
ISIS-895,Improvement,Closed,HomePage should honour authorization rules.,"So, if a user doesn't have permission (the home page action isn't visible and/or usable) then it shouldn't be invoked, and instead simply show the welcome messages.

However, this ticket does NOT require that the system checks that the user has permissions for the resultant object invoked from the home page action (a dashboard or whatever); rather the expectation is that the this the permissions be set-up correctly along with the user's permission to the home page action.

If the user doesn't have permission to the resultant object, then the usual behaviour should occur, ie to show the error page."
ISIS-894,Improvement,Closed,Remove @NotPersistable annotation and corresponding facet,"This annotation is a no-op (tested in Wicket and Restful Objects) and should be removed from the applib

... perhaps.  Looking again at the code, there's a check in PersistenceSession#makePersistent() and throws exception if attempt to explicitly persist.

However, JDO might persist anyway due to persistence-by-reachability, so the check would need to be added to the appropriate JDO lifecycle callback.

As I think all the above is marginal benefit, think we should just remove in 2.0.0"
ISIS-893,Improvement,Closed,"[WON'T FIX] (Cosmetics): If attempt to invoke non-existent action, get nasty error message","see the actionId=""fooBar""

diverted to error page with following stack trace:

15:59:41,112  [RequestCycleExtra    577739874@qtp-1148559558-0 WARN ]  Handling the following exception
org.apache.wicket.WicketRuntimeException: Can't instantiate page using constructor 'public org.apache.isis.viewer.wicket.ui.pages.actionprompt.ActionPromptPage(org.apache.wicket.request.mapper.parameter.PageParameters)' and argument 'actionArgs=[abc], actionArgs=[Professional], actionArgs=[$nullArg$], actionArgs=[20140925], actionArgs=[$nullArg$], objectOid=[dom.todo.ToDoItems:1], actionOwningSpec=[dom.todo.ToDoItems], actionId=[fooBar(java.lang.String,dom.todo.ToDoItem$Category,dom.todo.ToDoItem$Subcategory,org.joda.time.LocalDate,java.math.BigDecimal)], actionType=[USER]'. An exception has been thrown during construction!
	at org.apache.wicket.session.DefaultPageFactory.newPage(DefaultPageFactory.java:194)
	at org.apache.wicket.session.DefaultPageFactory.newPage(DefaultPageFactory.java:99)
	at org.apache.wicket.DefaultMapperContext.newPageInstance(DefaultMapperContext.java:137)
	at org.apache.wicket.core.request.handler.PageProvider.resolvePageInstance(PageProvider.java:268)
	at org.apache.wicket.core.request.handler.PageProvider.getPageInstance(PageProvider.java:166)
	at org.apache.wicket.request.handler.render.PageRenderer.getPage(PageRenderer.java:78)
	at org.apache.wicket.request.handler.render.WebPageRenderer.renderPage(WebPageRenderer.java:100)
	at org.apache.wicket.request.handler.render.WebPageRenderer.respond(WebPageRenderer.java:221)
	at org.apache.wicket.core.request.handler.RenderPageRequestHandler.respond(RenderPageRequestHandler.java:175)
	at org.apache.wicket.request.cycle.RequestCycle$HandlerExecutor.respond(RequestCycle.java:862)
	at org.apache.wicket.request.RequestHandlerStack.execute(RequestHandlerStack.java:64)
	at org.apache.wicket.request.cycle.RequestCycle.execute(RequestCycle.java:261)
	at org.apache.wicket.request.cycle.RequestCycle.processRequest(RequestCycle.java:218)
	at org.apache.wicket.request.cycle.RequestCycle.processRequestAndDetach(RequestCycle.java:289)
	at org.apache.wicket.protocol.http.WicketFilter.processRequestCycle(WicketFilter.java:259)
	at org.apache.wicket.protocol.http.WicketFilter.processRequest(WicketFilter.java:201)
	at org.apache.wicket.protocol.http.WicketFilter.doFilter(WicketFilter.java:282)
	at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1212)
	at org.apache.isis.core.webapp.diagnostics.IsisLogOnExceptionFilter.doFilter(IsisLogOnExceptionFilter.java:52)
	at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1212)
	at org.apache.shiro.web.servlet.AbstractShiroFilter.executeChain(AbstractShiroFilter.java:449)
	at org.apache.shiro.web.servlet.AbstractShiroFilter$1.call(AbstractShiroFilter.java:365)
	at org.apache.shiro.subject.support.SubjectCallable.doCall(SubjectCallable.java:90)
	at org.apache.shiro.subject.support.SubjectCallable.call(SubjectCallable.java:83)
	at org.apache.shiro.subject.support.DelegatingSubject.execute(DelegatingSubject.java:383)
	at org.apache.shiro.web.servlet.AbstractShiroFilter.doFilterInternal(AbstractShiroFilter.java:362)
	at org.apache.shiro.web.servlet.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:125)
	at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1212)
	at org.mortbay.jetty.servlet.ServletHandler.handle(ServletHandler.java:399)
	at org.mortbay.jetty.security.SecurityHandler.handle(SecurityHandler.java:216)
	at org.mortbay.jetty.servlet.SessionHandler.handle(SessionHandler.java:182)
	at org.mortbay.jetty.handler.ContextHandler.handle(ContextHandler.java:766)
	at org.mortbay.jetty.webapp.WebAppContext.handle(WebAppContext.java:450)
	at org.mortbay.jetty.handler.HandlerWrapper.handle(HandlerWrapper.java:152)
	at org.mortbay.jetty.Server.handle(Server.java:326)
	at org.mortbay.jetty.HttpConnection.handleRequest(HttpConnection.java:542)
	at org.mortbay.jetty.HttpConnection$RequestHandler.headerComplete(HttpConnection.java:928)
	at org.mortbay.jetty.HttpParser.parseNext(HttpParser.java:549)
	at org.mortbay.jetty.HttpParser.parseAvailable(HttpParser.java:212)
	at org.mortbay.jetty.HttpConnection.handle(HttpConnection.java:404)
	at org.mortbay.jetty.bio.SocketConnector$Connection.run(SocketConnector.java:228)
	at org.mortbay.thread.QueuedThreadPool$PoolThread.run(QueuedThreadPool.java:582)
Caused by: java.lang.reflect.InvocationTargetException
	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)
	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:57)
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45)
	at java.lang.reflect.Constructor.newInstance(Constructor.java:526)
	at org.apache.wicket.session.DefaultPageFactory.newPage(DefaultPageFactory.java:171)
	... 41 more
Caused by: java.lang.NullPointerException
	at org.apache.isis.viewer.wicket.model.mementos.ActionMemento.<init>(ActionMemento.java:62)
	at org.apache.isis.viewer.wicket.model.mementos.ActionMemento.<init>(ActionMemento.java:50)
	at org.apache.isis.viewer.wicket.model.models.ActionModel.newActionMementoFrom(ActionModel.java:277)
	at org.apache.isis.viewer.wicket.model.models.ActionModel.<init>(ActionModel.java:267)
	at org.apache.isis.viewer.wicket.model.models.ActionModel.createForPersistent(ActionModel.java:111)
	at org.apache.isis.viewer.wicket.ui.pages.actionprompt.ActionPromptPage.buildModel(ActionPromptPage.java:64)
	at org.apache.isis.viewer.wicket.ui.pages.actionprompt.ActionPromptPage.<init>(ActionPromptPage.java:52)
	... 46 more
15:59:41,116  [RequestCycleExtra    577739874@qtp-1148559558-0 WARN ]  ********************************
"
ISIS-892,New Feature,Closed,[DUPLICATE] Allow action parameters to be dynamically disabled or even hidden based on either object state or on the values for other objects.,
ISIS-891,New Feature,Closed,"[Duplicate] Dynamic and optional description for actions, as way to provide additional guidance in the action prompt.",
ISIS-890,Improvement,Closed,"Get rid of exploration mode, treat as synonym for prototype.  Ditto with @Exploration annotation.","The main rationale here is to simplify and reduce number of concepts for developer to grapple with.
Another part of the rationale is to make Isis consistent with Wicket, that only has two modes, not three (DEVELOPMENT and DEPLOYMENT).
"
ISIS-889,Improvement,Closed,Action prompt dialog seems to be not quite big enough in Chrome (is ok in Firefox and IEv11),
ISIS-888,Improvement,Closed,"Remove Wicket viewer action prompt page, instead just rely on action prompt.",However... we still use the action prompt page for any bookmarked actions that take args.  So would need to figure out what to do with those.
ISIS-887,Improvement,Closed,"Mothball the o.a.isis.core:isis-module-xxx modules, as now in isisaddons.",
ISIS-886,New Feature,Closed,Provide an API (perhaps in the WrapperFactory)to allow a programmer to determine whether the current user has view and/or modify access to a feature.,"The main use case being to allow a suitable title to be rendered (in title()) based on the users' permissions, eg:

{code}
public String title() {
    StringBuilder buf = new StringBuilder();
    if(wrapperFactory.isHidden(this, ""firstName"")) {
       buf.append(this.getFirstName());
    }
   return buf.toString();
}
{code}

and isDisabled(...) similarly
"
ISIS-885,Bug,Closed,"To avoid leaking information (eg in the title) should have a ""special"" permission to throw a 404 if user doesn't have permission to view any of the class' members.","Otherwise, an unauthorized user could:

a) discover (by constructing a URL) that an object exists, and 

b) worse, could view the title of said object, which would leak information about the object's state even if the object's properties were not visible."
ISIS-884,Bug,Closed,ErrorPage vulnerable to XSS attacks.,"The default error page (org.apache.isis.viewer.wicket.ui.pages.error.ErrorPage) is vulnerable to XSS via org.apache.isis.viewer.wicket.ui.errors.ExceptionStackTracePanel

In the constructor of ExceptionStackTracePanel, it adds a Label with the exception message and calls setEscapeModelStrings(false)

This means any URL that a URL be constructed to reference an entity with Javascript inserted where the OID should be and an exception is thrown with the Javascript code inserted in to the message.

This is then written to the page un-escaped to be executed in the users session.

It is made worse by the bookmarkable feature (I think that's what does this), where an attacker can navigate to a crafted URL on a user's PC, if they don't close all of their browser windows before the session times out, when they log in they will be redirected to the crafted URL."
ISIS-883,Bug,Closed,Isis 1.3: Bookmarkable action URLs can be submitted by a user without permissions to bring up action dialog (thereafter that user can invoke).,"originally raised in mailing list, see: http://markmail.org/thread/lmr3yy5yoz4sfkk2  for Isis 1.3


When a user with an admin role logs in, they get access to functionality not available to standard users.
However, if a standard user types in the URL to one of the admin pages, they get access to it.

It appears the permissions are only checked when rendering the menus and not when executing the action.
Essentially any authenticated user can bypass authorisation.

The permissions are correctly checked when accessing the services through the Restful interface.

~~~

More detail:

I'm talking about bookmarkable URL's in the format
http://localhost:7001/rma/wicket/wicket/bookmarkable/<Page class name>?pageType=ACTION&actionSingleResultsMode=REDIRECT&objectOid=<class name>:1&actionType=USER&actionOwningSpec=<class name>&actionId=<method description>&pageTitle=<page title>&actionMode=PARAMETERS

~~~

It's not the invocation that's being accessed by the bookmarkable URL, it's the form to enter the parameters.
Clicking the ""OK"" button on that form invokes the method.

The actual URL that causes the method invocation is
POST http://localhost:7001/rma/wicket/wicket/page?1-1.IFormSubmitListener-action-parameters-inputForm
with a standard x-www-form-urlencoded post body.
"
ISIS-882,Improvement,Closed,Appropriate facets should be copied over to contributed collections and properties.,eg for @MaxLength (property) and @Paged (collection).
ISIS-881,Bug,Closed,Menu service ordering appears to be non-deterministic?,see png.
ISIS-880,Bug,Closed,Appearance of Password field (in action dialogs) requires tweaking.,".isisPasswordPanel input[type=password] {
    border-radius:4px;
    -moz-border-radius:4px;
    -webkit-border-radius:4px;
    padding:6px;
    border:1px solid #F0EFEA;
    border-top:1px solid #CCCBC7;
}
"
ISIS-879,Bug,Closed,ObjectMemberAbstract#isAlwaysHidden() does not honour where=Where.EVERYWHERE.,"in ApplicationFeatures

    protected boolean isHidden(ObjectSpecification spec) {
        final HiddenFacet facet = spec.getFacet(HiddenFacet.class);
        return facet != null &&
                !facet.isNoop() &&
                (facet.where() == Where.EVERYWHERE || facet.where() == Where.ANYWHERE) &&
                facet.when() == When.ALWAYS;
    }


    
in ObjectMemberAbstract

    @Override
    public boolean isAlwaysHidden() {
        final HiddenFacet hiddenFacet = getFacet(HiddenFacet.class);
        return hiddenFacet != null && hiddenFacet.when() == When.ALWAYS && hiddenFacet.where() == Where.ANYWHERE;
    }
"
ISIS-878,Bug,Closed,Wicket viewer escape does not dismiss some (though not all) action dialog boxes,
ISIS-877,Bug,Closed,ReferencePanel toggles to different representation in edit mode (from view mode) even if is disabled.,
ISIS-876,Sub-task,Closed,Action prompt dialog box rendering when title too long...,
ISIS-875,New Feature,Closed,Provide the ability to render action buttons in a table.,Probably require some new annotation/facet.
ISIS-874,New Feature,Closed,"Allow individual items to stand out in a collection, eg new reserved method","eg, orovide a new method, like title() or iconName(), eg cssClass(), that returns a class name which is then used to wrap the entire instance when rendered as a row in a table."
ISIS-873,New Feature,Closed,CommandContext.getCommand() should also expose the ActionInteractionEvent.,"Because at the moment the command itself doesn't see the ActionInteractionEvent, even though the subscribers do!  and there's useful information in that event object.

With this implemented the action being invoked (or indeed its validate methods etc) will be able, by injecting the Command, to be able to get to the same ActionInteractionEvent that all the other subscribers on the event bus can see.


"
ISIS-872,Task,Closed,1.7.0 release activities,
ISIS-871,Bug,Closed,"NPE - ActionInvocationFacetForInteractionAbstract passes Null to ""ObjectSpecification.isViewModelCloneable""","As it passes a null value, a NPE is thrown afterwards (the ObjectAdapter is null).

See attached patch file."
ISIS-870,New Feature,Closed,Settings service (isisaddons) should support obfuscate passwords.,
ISIS-869,New Feature,Closed,Domain service (probably isisaddons) to wrap HttpSession.,"as per mailing list discussion:http://markmail.org/message/l4yh5cfu7dz2kn33

~~~~~~~~~~~~~

1. Assuming you want to access the ServletContext from your domain model:

add to dom/pom.xml (so that ServletContext is on classpath):

        <dependency>
            <groupId>org.apache.geronimo.specs</groupId>
            <artifactId>geronimo-servlet_2.5_spec</artifactId>
            <optional>true</optional>
        </dependency>

        
2. in dom project, define interface:

package dom;

import javax.servlet.ServletContext;
import org.apache.isis.applib.annotation.Programmatic;

public interface ServletContextProvider {

    @Programmatic
    public ServletContext getServletContext();

}



3. in webapp project, define implementation:

package webapp;

import dom.ServletContextProvider;

import javax.servlet.ServletContext;
import org.apache.wicket.protocol.http.WebApplication;
import org.apache.isis.applib.annotation.DomainService;
import org.apache.isis.applib.annotation.Programmatic;

@DomainService
public class ServletContextService implements ServletContextProvider {

    @Programmatic
    public ServletContext getServletContext() {
        return WebApplication.get().getServletContext();
    }

}"
ISIS-868,New Feature,Closed,"Add-on module to provide a ""feature toggle"" domain service (wrap togglz or similar)",http://www.togglz.org/ or http://ff4j.org
ISIS-867,New Feature,Closed,Domain service to automatically maintain lastUpdatedAt and lastUpdatedBy on any entity.,"using ISIS-865.

Define:
interface Updateable {
    @Programmatic
    public void updatedBy(String userName);
    @Programmatic
    publc void updatedAt(DateTime dt);
}

Install a JDO StoreLifecycleListener on the PersistenceManager when request starts, call in preStore.

Should double-check plays well with auditing service.  (Should be ok, since even if this listener and Isis' global listener are called in indeterminate order, even then we only hit the auditing service just prior to committing the transaction.  Until that point we are just capturing the fact that entities have been enlisted in the xactn).

"
ISIS-866,Improvement,Closed,Request-scoped service should be told when the request is starting and stopping.,"For @RequestScoped services, Isis creates a proxy that implements the RequestScopedService interface (in Isis core-runtime), which defines __isis_startRequest and __isis_stopRequest.  These methods are then called when the Isis session (=request scope) is created so that the proxy can instantiate a service for the duration of the request, bound to the thread-local.

HOWEVER...

The underlying service doesn't actually know it has been created/a request is started.  It isn't possible to put logic in the constructor, because that stuff is also called by the proxy wrapper.

SO...

... a bit of research shows that the JEE way of doing this is to call methods annotated @PostConstruct and @PreDestroy.  So that's what we should do too.
"
ISIS-865,New Feature,Closed,Either warn or fail-fast if an action is annotated with safe semantics but nevertheless results in dirty objects in the xactn.,"Following on/inspired by ISIS-864.

Needs some discussion to decide on how to configure.  Warning could just be logging, while fail-fast could mean throw an exception.

"
ISIS-864,Improvement,Closed,"Command should be persisted if any dirty objects enlisted into transaction, in order to ensure no accidental orphans.","adding:
isis.services.command.actions=ignoreQueryOnly
means that commands are not persisted for any query-only actions.  But that means that if an action is incorrectly annotated with query-only semantics (ie @ActionSemantics(Of.SAFE)) and then dirties objects, then we can end up with audit entries for those dirty objects that are orphaned.

So, this enhancement is for Isis core to always persist a command whenever an object has been dirtied, even if from an action that has SAFE semantics.

then 
"
ISIS-863,Bug,Closed,Bookmark of viewmodel is too large to be stored in target field of CommandJdo table,"The bookmark of a viewmodel is too large to be stored in the target field of the IsisCommand (CommandJdo) table. The maximum length of target is 2000 characters but the bookmark of a viewmodel exceeds that.

Because it's not relevant to store this bookmark we decided not to store bookmarks for viewmodels and therefore allow null values in the target field."
